Q6,Q1,Q2,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8
ID do Participante,O que você precisa fazer para ter sua contribuição aceita?,Quais informações o bot te ofereceu?,Como as informações do bot te ajudaram?,Quanto você concorda com as afirmações a seguir: - O bot forneceu informações adequadas para a finalidade da contribuição.,Quanto você concorda com as afirmações a seguir: - Eu não consegui entender as informações oferecidas pelo bot.,Quanto você concorda com as afirmações a seguir: - Foi fácil de entender o bot.,Quanto você concorda com as afirmações a seguir: - Eu percebi a presença do bot.,Quanto você concorda com as afirmações a seguir: - A informação oferecida pelo bot era clara.,Quanto você concorda com as afirmações a seguir: - O bot ofereceu informações que eram desnecessárias.,Quanto você concorda com as afirmações a seguir: - A quantidade de informações oferecidas pelo bot foi adequada.,Quanto você concorda com as afirmações a seguir: - O bot contribuiu para melhorar a eficiência do meu trabalho.
P2,Não sei o que preciso fazer. ,"Sinalizou 3 itens. 4 críticos (porém permitiu que o pr fosse aceito), 1 de deploy (não consegui entender o que  precisa ser feito) e o último de info (mas não lembro a informação)","nada. Não senti nenhum apontamento ou algo que eu precisava mudar. Seria legal, além de alertar, mandar eu fazer algo",Concordo,Concordo fortemente,Neutro,Concordo fortemente,Discordo,Neutro,Discordo fortemente,Discordo
P4,"Minimamente cumprir com os objetivos que estão presentes na issue.
Manter a cobertura de testes.
Manter que todos os testes continuem funcionando corretamente.","Cobertura de testes.
Informações sobre a criticidade de commits.",Possibilitando se a cobertura de testes continuava ok.,Concordo fortemente,Discordo fortemente,Concordo fortemente,Concordo fortemente,Concordo fortemente,Discordo fortemente,Concordo fortemente,Concordo fortemente
P6,Melhorar a cobertura ,"Informações que dizem a falta de implementação de testes, unitários, também ele mostrou questões que dizem respeito à build do projeto, cobertura e informações genéricas de tamanho do projeto.",Quebra na cobertura e falta de testes unitários.,Concordo,Discordo fortemente,Concordo,Concordo fortemente,Neutro,Concordo,Neutro,Concordo
P8,"resolver as observações críticas no pull request, dois de três comentários sugeriam a criação de testes unitários para algumas das funções implementadas. O outro comentário definido como crítico sugeria a definição do tipo de retorno de uma das funções.",quais funções/métodos necessitavam de alterações (testes ou definição de retornos).,ajudaram a definir as prioridades e possíveis alterações que eu deveria fazer.,Neutro,Discordo,Concordo,Concordo fortemente,Concordo,Discordo,Concordo,Concordo
P10,"Adicionar dois testes unitários, adicionar o tipo no retorno de uma função",Os passos necessários para aceite do pr. Mapemanto da cobertura de código (modulos). Informações de build do artefato e alguma informações sobre o github actions.,Elas direcionaram as ações necessárias de forma rápida e clara. O bot me informa até em qual linha/arquivo preciso ir para ajustar o código gerado.,Concordo fortemente,Discordo,Concordo,Concordo fortemente,Concordo fortemente,Neutro,Concordo,Concordo fortemente
P12,"Preciso adequar meu código de acordo com as sugestões sugeridas pelo bot, como realizar testes unitários em trechos de códigos e analisar o custo das depedencia extra que estarei inserindo no projeto com aquele código. Após isso analisar o repositório para identificar quem seria o participante apto a realizar a review do Pull Request, uma vez que o participante que mencionei não está mais trabalhando na base de código das modificações que eu realizei.","O bot me ofereceu informações de validação da qualidade do meu código, realizando uma análise se houve implantações de testes, para não haver debitos técnicos devido a má implementação do código e bugs relacionados com  a falta de testes unitários. Também me informou uma análise geral, no qual mostrava o que a integração daquele código afetaria no repositório se tratando do tamanho das dependencias.

(Não houve report sobre falta de cobertura do código)","As informações do bot me ajudou a identificar que no projeto há qualidades que devem ser seguidas antes de realizar o merge de pull request, mostrando que há um controle de qualidade para determinadas branchs, que no caso era a branch master, provavelmente a branch principal do projeto. Devido as inforamções listadas pelo bot sei exatamente o que devo alterar nas mudanças do código nos meus commits para que meu Pull Request passe por ele sem relatar problemas, visto que é uma análise realizada pelo bot é exata e deve retornar os mesmos problemas até que eu corrija o que foi solicitado.",Concordo,Neutro,Discordo,Concordo fortemente,Concordo,Concordo,Concordo,Concordo fortemente
P14,"Preciso inserir dois testes unitários, corrigir um código que não tem  valor de retorno da função","'- Me disponibilizou item a item de onde eu devo fazer as correções, além de algumas métricas explicativas sobre como a cobertura de testes do projeto está.
- Me disponibilizou uma interface testável do meu pull request.
- Me informou um agregado de informações sobre o tamanho do meu pull Request (uso em disco).","Me ajudaram a descobrir oque eu devo fazer para que meu pull request seja aceito, pelo revisor, além de me mostrar métricas importantes para meu entendimento do impacto dessas alterações que não foram feitas.",Concordo,Discordo,Concordo,Concordo fortemente,Concordo,Discordo,Concordo fortemente,Concordo fortemente
P16,"Pelo que entendi do histórico de comentários no pull request, foi sugerida a implementação de novos testes automatizados, mas após essa inclusão, não houve mais nenhuma verificação humana do código. Portanto, creio que a contribuição já pode ser aceita.","O bot exibiu os comentários presentes no código dos commits, de forma categorizada.",As informações me ajudaram a relembrar ideias de implementações futuras que tive durante o desenvolvimento da feature.,Discordo,Neutro,Concordo fortemente,Concordo fortemente,Discordo,Concordo fortemente,Concordo fortemente,Concordo fortemente
P18,"É necessário ter pessoas para aprovarem o Pull Request, os revisores.
É preciso corrigir os problemas de Warning que existem no Pull Request.","Eu vi o comentário, mas não prestei atenção no que quis dizer, achei que era uma conversa entre os usuários.","Como não prestei atenção que era um bot, eu acredito que não muito ajudou.",Neutro,Concordo,Neutro,Discordo fortemente,Neutro,Discordo,Concordo,Concordo
